fountaintype,position,propname,borough,fountaincount,district,point
A,"Under Tree, Near Ballfield, Just Outside Playground",Abraham Lincoln Playground,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.93727534818117,40.81241220126572)"
H,In Playground,Greene Playground,B,1,"H, In Playground"," (-73.96575617872509,40.68631912170173)"
C,In Playground,,B,1,"C, In Playground"," (-73.99677951838612,40.690222941071305)"
CS Metal,,Arrochar Playground,R,1,"CS Metal,"," (-74.07122346703812,40.59778813783406)"
Indoor Drinking Fountain,Indoor,Red Hook Recreation Area,B,1,"Indoor Drinking Fountain, Indoor"," (-74.00404472482211,40.67238288416279)"
A,Out in Open,Marble Hill Playground,X,1,"A, Out in Open"," (-73.90804597946936,40.877720354160985)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83999897340489,40.74459923188371)"
E,"Under Tree, In Playground",Elizabeth Stroud Playground,B,1,"E, Under Tree, In Playground"," (-73.93102651431307,40.67965244558987)"
A,In Playground,Vleigh Playground,Q,1,"A, In Playground"," (-73.81627708123904,40.729795593543386)"
E High Low,"In Playground, Out in Open",Sunset Park,B,2,"E High Low, In Playground, Out in Open"," (-74.0045371235371,40.64757232729564)"
Pedestal High Low and Dog,"Under Tree, Out in Open",Wards Island Park,M,3,"Pedestal High Low and Dog, Under Tree, Out in Open"," (-73.93538124014607,40.78525570736704)"
B,Just Outside Playground,Tompkins Square Park,M,1,"B, Just Outside Playground"," (-73.98258687855567,40.726120919754415)"
A,Near Ballfield,Harvey Park,Q,1,"A, Near Ballfield"," (-73.82373136514626,40.783141653490944)"
C,"Under Tree, Near Ballfield, Just Outside Playground",Corlears Hook Park,M,1,"C, Under Tree, Near Ballfield, Just Outside Playground"," (-73.97978634021463,40.7115835942007)"
A,Near_Ballfield,Springfield Park,Q,1,"A, Near_Ballfield"," (-73.76271234492789,40.660911803824284)"
C,Near Ballfield,Kissena Corridor Park,Q,1,"C, Near Ballfield"," (-73.8222781882867,40.74935787975406)"
A,"In Shade, Just Outside Playground",John Allen Payne Playground,B,1,"A, In Shade, Just Outside Playground"," (-74.02410905272394,40.640142701330724)"
C,In Playground,Brookville Park,Q,1,"C, In Playground"," (-73.74113863983833,40.663521744421914)"
B,"Near Ballfield, Under Tree",Thomas Jefferson Park,M,1,"B, Near Ballfield, Under Tree"," (-73.93566494864172,40.792466939279336)"
F,Just Outside Playground,Hilltop Playground,B,1,"F, Just Outside Playground"," (-73.91441286119836,40.675091680671244)"
A,Under Tree,Wayanda Park,Q,1,"A, Under Tree"," (-73.73966863748406,40.71069173484495)"
D,In Playground,Fort Greene Park,B,1,"D, In Playground"," (-73.97359441768938,40.69020172401398)"
E High Low,In Playground,Central Park,M,2,"E High Low, In Playground"," (-73.97712036755014,40.77325238318575)"
A,"Out in Open, In Playground",Almeda Playground,Q,1,"A, Out in Open, In Playground"," (-73.79440862638616,40.593791759412525)"
A,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Out in Open"," (-74.08754251070087,40.57100781139172)"
